region_id,region_name,mean_beta
1,Left-Cerebral-Exterior,-3.2311390147416916
2,Left-Cerebral-White-Matter,1.0885477193320792
3,Left-Cerebral-Cortex,-0.07905847734601207
4,Left-Lateral-Ventricle,-0.24533341997028363
5,Left-Inf-Lat-Vent,-0.002366330831444157
6,Left-Cerebellum-Exterior,-2.013522772807373
7,Left-Cerebellum-White-Matter,-1.292349142372911
8,Left-Cerebellum-Cortex,-0.2654976867815505
9,Left-Thalamus-unused,-0.25152419282433885
10,Left-Thalamus,0.03792639186592411
11,Left-Caudate,0.35248945400516357
12,Left-Putamen,0.009578317383369594
13,Left-Pallidum,2.526792704218389
14,3rd-Ventricle,-2.490637158561084
15,4th-Ventricle,-1.84289094099873
16,Brain-Stem,0.7987880320805643
17,Left-Hippocampus,-0.2656644905606906
18,Left-Amygdala,-2.7368660507642706
19,Left-Insula,-2.580466179039718
20,Left-Operculum,1.3690166776973962
21,Line-1,-0.3902655276614777
22,Line-2,-0.8155676055469248
23,Line-3,0.6561371868617515
24,CSF,-1.9643582792163619
25,Left-Lesion,-1.0176693555087042
26,Left-Accumbens-area,-0.27505206609279603
27,Left-Substancia-Nigra,-0.016468788589199267
28,Left-VentralDC,2.4419865482221774
29,Left-undetermined,-2.0944527553187475
30,Left-vessel,1.2949109591148449
31,Left-choroid-plexus,0.9097345769405365
32,Left-F3orb,-2.207374755293131
34,Left-WMCrowns,-0.034194648913715195
35,Left-mOg,-4.200450283353743
36,Left-pOg,-4.653775225986134
37,Left-Stellate,-0.9138121295836754
38,Left-Porg,-0.1339361211284995
39,Left-Aorg,-0.6664316720694681
40,Right-Cerebral-Exterior,2.520039581208951
41,Right-Cerebral-White-Matter,-4.470066886882215
42,Right-Cerebral-Cortex,-1.988030859136186
43,Right-Lateral-Ventricle,-3.3920345046667775
44,Right-Inf-Lat-Vent,0.5812042899286518
45,Right-Cerebellum-Exterior,3.6506973371315645
46,Right-Cerebellum-White-Matter,-0.8532843956650462
47,Right-Cerebellum-Cortex,-0.5217994542471664
48,Right-Thalamus-unused,-2.417402612881528
49,Right-Thalamus,4.99050541480247
50,Right-Caudate,-1.7200492293872967
51,Right-Putamen,-2.1423082836972522
52,Right-Pallidum,-1.0842672085420595
53,Right-Hippocampus,-0.6638325396107939
54,Right-Amygdala,-0.29857099659543124
55,Right-Insula,-0.4356089152808806
56,Right-Operculum,-1.672881645380842
57,Right-Lesion,-1.2759709346439339
58,Right-Accumbens-area,-1.399851943037401
59,Right-Substancia-Nigra,-0.12935282206297785
60,Right-VentralDC,-1.252621454969076
61,Right-undetermined,-4.226134464673602
62,Right-vessel,-0.6592198958670853
63,Right-choroid-plexus,-2.5085556476583446
64,Right-F3orb,-2.4668836236973717
65,Right-lOg,-3.4315161992503063
66,Right-WMCrowns,-2.307776250892767
67,Right-mOg,0.14607735295444293
68,Right-pOg,3.053716872061937
69,Right-Stellate,-1.8035241222420753
70,Right-Porg,-0.9894321690554972
71,Right-Aorg,0.5844951639760678
72,5th-Ventricle,4.1431153456574865
73,Left-Interior,-1.584170493576118
74,Right-Interior,3.8396733445692655
75,Left-Locus-Coeruleus,-4.024283173670237
76,Right-Locus-Coeruleus,-0.5307735795650265
77,WM-hypointensities,-2.7211246441692523
78,Left-WM-hypointensities,0.5263920361654456
79,Right-WM-hypointensities,3.8535352564233096
80,non-WM-hypointensities,0.24886202344785757
81,Left-non-WM-hypointensities,0.27779602703818135
82,Right-non-WM-hypointensities,-1.6411046639384579
83,Left-F1,5.114980474812499
84,Right-F1,-1.3841799764885707
85,Optic-Chiasm,-2.505938630049843
86,Left_future_WMSA,-1.2303788176304553
87,Right_future_WMSA,0.4453479925602877
88,future_WMSA,0.44147345633246005
89,region_89,-0.8768100130006932
90,region_90,-0.6921190016708609
91,region_91,-0.926535674033695
92,region_92,0.09632887930382748
93,region_93,-0.766475935255625
94,region_94,-1.291758325673281
95,region_95,-3.890049972342184
96,Left-Amygdala-Anterior,-0.6810761329563472
97,Right-Amygdala-Anterior,-1.9713580590727393
98,Dura,-2.603947625171255
99,Lesion,-3.0871881384306947
100,Left-wm-intensity-abnormality,-1.2041384121843604
101,Left-caudate-intensity-abnormality,0.5736109126290342
102,Left-putamen-intensity-abnormality,3.5321146345715895
103,Left-accumbens-intensity-abnormality,-1.069190035546273
104,Left-pallidum-intensity-abnormality,-1.834298238158226
105,Left-amygdala-intensity-abnormality,0.46565153165990353
106,Left-hippocampus-intensity-abnormality,3.433895037555304
107,Left-thalamus-intensity-abnormality,-1.6758082226779805
